id,first_name,last_name,email,car_make,car_model,vin_number,manufactured_date
1,Heath,Tootell,Karlskoga,GMC,1500,WBALW7C58CD028568,3/2/1985
2,Silva,Creagh,Wangbuzhuang,Mercedes-Benz,S-Class,SCFEBBCF8BG727829,8/6/1989
3,Nyssa,Cogdon,Changting,Volvo,C70,3VW4A7AT9DM163083,7/25/1982
4,Caprice,Zarfati,Mŭglizh,Subaru,Impreza,JA32U2FU5FU535571,11/22/1983
5,Dennie,Yglesias,Manado,Volkswagen,Passat,WBA3D5C52EF250203,3/21/1985
6,Bryna,Critzen,Kara Suu,Chevrolet,Tahoe,WBAVM1C51DV755171,3/11/1983
7,Fae,Zuenelli,Jacksonville,Chrysler,Sebring,2C3CCAGG9EH575833,11/1/1988
8,Kally,Chessill,Purranque,Ford,F450,1FTMF1E87AK069355,10/1/1986
9,Raffarty,Parfett,Strohonivka,Nissan,280ZX,1D7RV1GT1BS010290,11/22/1985
10,Ruddy,Fickling,Lizhai,Ford,E350,JHMZE2H34CS080848,7/8/1987
